date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
6/2/2013,United States,Germany,4,3,Friendly,Washington,United States,FALSE
6/11/2013,United States,Panama,2,0,FIFA World Cup qualification,Seattle,United States,FALSE
6/18/2013,United States,Honduras,1,0,FIFA World Cup qualification,Sandy,United States,FALSE
7/9/2013,United States,Belize,6,1,Gold Cup,Portland,United States,FALSE
7/13/2013,United States,Cuba,4,1,Gold Cup,Sandy,United States,FALSE
7/16/2013,United States,Costa Rica,1,0,Gold Cup,East Hartford,United States,FALSE
7/21/2013,United States,El Salvador,5,1,Gold Cup,Baltimore,United States,FALSE
7/24/2013,United States,Honduras,3,1,Gold Cup,Arlington,United States,FALSE
7/28/2013,United States,Panama,1,0,Gold Cup,Chicago,United States,FALSE
9/10/2013,United States,Mexico,2,0,FIFA World Cup qualification,Columbus,United States,FALSE
10/11/2013,United States,Jamaica,2,0,FIFA World Cup qualification,Kansas City,United States,FALSE
2/1/2014,United States,South Korea,2,0,Friendly,Carson,United States,FALSE
6/1/2014,United States,Turkey,2,1,Friendly,Harrison,United States,FALSE
6/7/2014,United States,Nigeria,2,1,Friendly,Jacksonville,United States,FALSE
6/22/2014,United States,Portugal,2,2,FIFA World Cup,Manaus,Brazil,TRUE
6/26/2014,United States,Germany,0,1,FIFA World Cup,Recife,Brazil,TRUE
10/14/2014,United States,Honduras,1,1,Friendly,Boca Raton,United States,FALSE
11/14/2014,United States,Colombia,1,2,Friendly,London,England,TRUE
2/8/2015,United States,Panama,2,0,Friendly,Carson,United States,FALSE
4/15/2015,United States,Mexico,2,0,Friendly,San Antonio,United States,FALSE
7/7/2015,United States,Honduras,2,1,Gold Cup,Frisco,United States,FALSE
7/10/2015,United States,Haiti,1,0,Gold Cup,Foxborough,United States,FALSE
7/13/2015,United States,Panama,1,1,Gold Cup,Kansas City,United States,FALSE
7/18/2015,United States,Cuba,6,0,Gold Cup,Baltimore,United States,FALSE
7/22/2015,United States,Jamaica,1,2,Gold Cup,Atlanta,United States,FALSE
7/25/2015,United States,Panama,1,1,Gold Cup,Chester,United States,FALSE
10/10/2015,United States,Mexico,2,3,Friendly,Pasadena,United States,FALSE
1/31/2016,United States,Iceland,3,2,Friendly,Carson,United States,FALSE
3/29/2016,United States,Guatemala,4,0,FIFA World Cup qualification,Columbus,United States,FALSE
6/3/2016,United States,Colombia,0,2,Copa Am̩rica,Santa Clara,United States,FALSE
6/7/2016,United States,Costa Rica,4,0,Copa Am̩rica,Chicago,United States,FALSE
6/11/2016,United States,Paraguay,1,0,Copa Am̩rica,Philadelphia,United States,FALSE
6/16/2016,United States,Ecuador,2,1,Copa Am̩rica,Seattle,United States,FALSE
6/21/2016,United States,Argentina,0,4,Copa Am̩rica,Houston,United States,FALSE
6/25/2016,United States,Colombia,0,1,Copa Am̩rica,Glendale,United States,FALSE
9/6/2016,United States,Trinidad and Tobago,4,0,FIFA World Cup qualification,Jacksonville,United States,FALSE
1/29/2017,United States,Serbia,0,0,Friendly,San Diego,United States,FALSE
3/24/2017,United States,Honduras,6,0,FIFA World Cup qualification,San Jose,United States,FALSE
6/3/2017,United States,Venezuela,1,1,Friendly,Sandy,United States,FALSE
6/8/2017,United States,Trinidad and Tobago,2,0,FIFA World Cup qualification,Commerce City,United States,FALSE
7/1/2017,United States,Ghana,2,1,Friendly,East Hartford,United States,FALSE
7/8/2017,United States,Panama,1,1,Gold Cup,Nashville,United States,FALSE
7/12/2017,United States,Martinique,3,2,Gold Cup,Tampa,United States,FALSE
7/15/2017,United States,Nicaragua,3,0,Gold Cup,Cleveland,United States,FALSE
7/19/2017,United States,El Salvador,2,0,Gold Cup,Philadelphia,United States,FALSE
7/22/2017,United States,Costa Rica,2,0,Gold Cup,Arlington,United States,FALSE
7/26/2017,United States,Jamaica,2,1,Gold Cup,Santa Clara,United States,FALSE
9/1/2017,United States,Costa Rica,0,2,FIFA World Cup qualification,Harrison,United States,FALSE
10/6/2017,United States,Panama,4,0,FIFA World Cup qualification,Orlando,United States,FALSE
1/28/2018,United States,Bosnia and Herzegovina,0,0,Friendly,Carson,United States,FALSE
3/27/2018,United States,Paraguay,1,0,Friendly,Cary,United States,FALSE
5/28/2018,United States,Bolivia,3,0,Friendly,Chester,United States,FALSE
9/7/2018,United States,Brazil,0,2,Friendly,East Rutherford,United States,FALSE
9/11/2018,United States,Mexico,1,0,Friendly,Nashville,United States,FALSE
10/11/2018,United States,Colombia,2,4,Friendly,Tampa,United States,FALSE
10/16/2018,United States,Peru,1,1,Friendly,East Hartford,United States,FALSE
1/27/2019,United States,Panama,3,0,Friendly,Glendale,United States,FALSE
2/2/2019,United States,Costa Rica,2,0,Friendly,San Jose,United States,FALSE
3/21/2019,United States,Ecuador,1,0,Friendly,Orlando,United States,FALSE
3/26/2019,United States,Chile,1,1,Friendly,Houston,United States,FALSE
6/5/2019,United States,Jamaica,0,1,Friendly,Washington,United States,FALSE
6/9/2019,United States,Venezuela,0,3,Friendly,Cincinnati,United States,FALSE
6/18/2019,United States,Guyana,4,0,Gold Cup,Saint Paul,United States,FALSE
6/22/2019,United States,Trinidad and Tobago,6,0,Gold Cup,Cleveland,United States,FALSE
6/26/2019,United States,Panama,1,0,Gold Cup,Kansas City,United States,FALSE
6/30/2019,United States,Curacao,1,0,Gold Cup,Philadelphia,United States,FALSE
7/3/2019,United States,Jamaica,3,1,Gold Cup,Nashville,United States,FALSE
7/7/2019,United States,Mexico,0,1,Gold Cup,Chicago,United States,FALSE
